UKPRN	UK learning provider name	Website	Status	CO2 emissions (g)	Website carbon link	Date last checked
10000886	University of Brighton	https://www.brighton.ac.uk/		0.68		2023-12-07
10007786	University of Bristol	https://www.bristol.ac.uk/		1.13		2023-12-07
10007788	University of Cambridge	https://www.cam.ac.uk/		1.46		2023-12-07
10007141	University of Central Lancashire	https://www.uclan.ac.uk/		0.42		2023-12-07
10007848	University of Chester	https://www.chester.ac.uk/		0.97		2023-12-07
10007851	University of Derby	https://www.derby.ac.uk/		1.03		2023-12-07
10007852	University of Dundee	https://www.dundee.ac.uk/		0.46		2023-12-07
10007143	University of Durham	https://www.dur.ac.uk/		1.05		2023-12-07
10007789	University of East Anglia	https://www.uea.ac.uk/		2.78		2023-12-07
10007144	University of East London	https://www.uel.ac.uk/		0.40		2023-12-07
10007790	University of Edinburgh	https://www.ed.ac.uk/		1.32		2023-12-07
10007791	University of Essex	https://www.essex.ac.uk/		1.65		2023-12-07
10007792	University of Exeter	https://www.exeter.ac.uk/		1.25		2023-12-07
10007793	University of Glamorgan / Prifysgol Morgannwg	https://www.southwales.ac.uk/		1.50		2023-12-07
10007794	University of Glasgow	https://www.gla.ac.uk/		0.41		2023-12-07
10007145	University of Gloucestershire	https://www.glos.ac.uk/		0.90		2023-12-07
10007146	University of Greenwich	https://www.greenwich.ac.uk/		1.21		2023-12-07
10007147	University of Hertfordshire	https://www.herts.ac.uk/		1.26		2023-12-07
10007148	University of Huddersfield	https://www.hud.ac.uk/		0.74		2023-12-07
10007149	University of Hull	https://www.hull.ac.uk/		1.63		2023-12-07
10007767	University of Keele	https://www.keele.ac.uk/		0.88		2023-12-07
10007150	University of Kent	https://www.kent.ac.uk/		0.44		2023-12-07
10007768	University of Lancaster	https://www.lancs.ac.uk/		0.25		2023-12-07
10007795	University of Leeds	https://www.leeds.ac.uk/		0.17		2023-12-07
10007796	University of Leicester	https://www.le.ac.uk/		1.58		2023-12-07
10007151	University of Lincoln	https://www.lincoln.ac.uk/		0.65		2023-12-07
10006842	University of Liverpool	https://www.liv.ac.uk/		0.46		2023-12-07
10007797	University of London	https://www.london.ac.uk/		3.66		2023-12-07
10007799	University of Newcastle Upon Tyne	https://www.ncl.ac.uk/		1.20		2023-12-07
10001282	University of Northumbria at Newcastle	https://www.northumbria.ac.uk/		0.59		2023-12-07
10007154	University of Nottingham	https://www.nottingham.ac.uk/		1.98		2023-12-07
10007774	University of Oxford	https://www.ox.ac.uk/		0.78		2023-12-07
10007801	University of Plymouth	https://www.plymouth.ac.uk/		1.61		2023-12-07
10007155	University of Portsmouth	https://www.port.ac.uk/		0.70		2023-12-07
10007802	University of Reading	https://www.reading.ac.uk/		1.24		2023-12-07
10007156	University of Salford	https://www.salford.ac.uk/		2.36		2023-12-07
10007157	University of Sheffield	https://www.shef.ac.uk/		0.47		2023-12-07
10007158	University of Southampton	https://www.soton.ac.uk/		0.29		2023-12-07
10007803	University of St Andrews	https://www.st-andrews.ac.uk/		0.34		2023-12-07
10007804	University of Stirling	https://www.stir.ac.uk/		0.86		2023-12-07
10007805	University of Strathclyde	https://www.strath.ac.uk/		0.32		2023-12-07
10007159	University of Sunderland	https://www.sunderland.ac.uk/		5.71		2023-12-07
10007160	University of Surrey	https://www.surrey.ac.uk/		0.24		2023-12-07
10007806	University of Sussex	https://www.sussex.ac.uk/		0.37		2023-12-07
